parcelid,bathroomcnt,bedroomcnt,lotsizesquarefeet,finishedSqFt,latitude,longitude,lotsizesquarefeet,yearbuilt,LastSoldPrice
10754147,0,0,85768,,34144442,-118654084,85768,,9
10759547,0,0,4083,,34140430,-118625364,4083,,27516
10843547,0,0,63085,73026,33989359,-118394633,63085,,1413387
10859147,0,0,7521,5068,34148863,-118437206,7521,1948,1156834
10879947,0,0,8512,1776,34194168,-118385816,8512,1947,433491
10898347,0,0,2500,2400,34171873,-118380906,2500,1943,283315
10933547,0,0,,,34131929,-118351474,,,554573
10940747,0,0,5333,3611,34171345,-118314900,5333,1946,688486
10954547,0,0,145865,,34218210,-118331311,145865,,9
10976347,0,0,7494,3754,34289776,-118432085,7494,1978,261201
11073947,0,0,3423,2470,34265214,-118520217,3423,1958,430208
11114347,0,0,81293,,34447747,-118565056,81293,,9
11116947,0,0,6286,,34465048,-118568166,6286,,171200
11142747,0,0,,,34416889,-118505805,,,4265
11193347,0,0,11975,,34585014,-118162010,11975,,10
11215747,0,0,9403,,34563376,-118019104,9403,,10
11229347,0,0,3817,,34526913,-118050581,3817,,2077
11287347,0,0,8856,2760,34690736,-118135225,8856,1949,62424
11288547,0,0,46526,4000,34733960,-118139298,46526,1956,102385
11324547,2,4,9826,3633,34560018,-118169806,9826,2005,291973
11391347,0,0,8050,4053,33986910,-118329553,8050,1957,503752
11395747,0,0,2904,1442,33960238,-118319986,2904,,49928
11404347,0,0,1821,1936,33959896,-118350438,1821,1939,231720
11405747,0,0,5231,1606,33952952,-118361711,5231,1926,181667
11417147,0,0,5934,2820,33931500,-118352104,5934,1938,133717
11457547,0,0,500,,33961232,-118385376,500,,124
11488147,4,5,4990,2865,33879216,-118361434,4990,1972,818739
11520747,0,0,10437,6790,34016768,-118408671,10437,1955,786584
11524947,2,2,40247,1090,33974100,-118423000,40247,2004,352198
11544747,4,3,,1620,33996200,-118438000,,2011,835036
11579347,0,0,5010,3170,34047254,-118490143,5010,1955,528621
11585547,2,3,6490,2077,34012977,-118479243,6490,1926,637046
11588747,3,3,6763,2019,34003621,-118477513,6763,,1410000
11592147,0,0,,28667,34021478,-118495171,,1958,2.54E+07
11609547,0,0,5500,5610,34043579,-118420247,5500,1929,236380
11617547,3,2,,2735,34059700,-118439000,,2010,2878212
11660547,0,0,,,34061789,-118490569,,,6629148
11681747,0,0,2902,,34078805,-118685815,2902,,15299
11698747,0,0,17015,18629,33989166,-118352009,17015,1949,1295374
11704347,0,0,7484,1781,33997099,-118308380,7484,1934,99589
11732547,0,0,9410,4320,34040347,-118284504,9410,1925,258557
11742147,0,0,3928,,34048500,-118351405,3928,,286462
11751547,0,0,6163,1012,34059275,-118343860,6163,1936,1178301
11759947,2,4,5420,1931,33990297,-118275168,5420,1957,221244
11780147,0,0,,,34046011,-118261452,,,302423
11780347,0,0,,,34046011,-118261452,,,870573
11781947,0,0,19283,,34053742,-118277178,19283,1920,497257
11808747,0,0,4676,2427,34078681,-118213803,4676,1937,380000
11817747,0,0,2749,2718,34090024,-118162665,2749,1962,327880
11818747,0,0,5875,,34072919,-118164004,5875,,11009
11823747,0,0,4995,3230,34048938,-118192806,4995,1927,94118
11824947,0,0,5279,2086,34040253,-118188151,5279,1908,364299
11825347,0,0,9132,4355,34033519,-118185231,9132,1957,554292
11828947,0,0,5163,4567,34028416,-118191127,5163,1909,55024
11829547,0,0,7165,2156,34024226,-118188022,7165,1959,338633
11852147,0,0,2555,3159,34021350,-118130571,2555,1955,72165
11900147,0,0,4022,6150,34096844,-118107664,4022,1916,400448
11918747,0,0,117792,1045,34081400,-118085000,117792,1993,313528
11935747,0,0,2500,,34071672,-118250933,2500,,1808
11936547,0,0,25183,,34067385,-118242805,25183,,120596
11951747,0,0,5173,,34104348,-118254681,5173,,537313
11954547,0,0,4054,1200,34097714,-118248712,4054,1972,5249
11960747,0,0,9099,7323,34117105,-118242371,9099,1960,177232
11978347,0,0,3751,5085,34110288,-118191254,3751,1919,281661
12013147,0,0,976,,34099979,-118341961,976,,25000
12022147,0,0,6057,10152,34090892,-118385831,6057,1936,2070254
12037147,0,0,6348,5482,34102958,-118286134,6348,1942,396431
12060147,0,0,5567,5302,34162542,-118264158,5567,1940,786107
12076747,0,0,9787,,34172392,-118198221,9787,,178495
12077147,0,0,2111,,34170195,-118191644,2111,,2171
12104147,0,0,10004,6200,34148283,-118149156,10004,1924,2571561
12111347,0,0,53507,18348,34144225,-118132334,53507,2006,8283548
12144747,4,4,12843,3086,34111765,-118045669,12843,1950,993913
12167947,0,0,145953,,34202429,-118123203,145953,,378
12168547,0,0,5504,,34192420,-118125270,5504,,34466
12171147,0,0,5927,2098,34171205,-118131784,5927,1929,43809
12188547,0,0,3251,1377,33976720,-118268917,3251,1923,47752
12195547,0,0,5602,2649,33972924,-118288809,5602,1912,152999
12209347,0,0,3000,2440,33955375,-118307766,3000,1947,181354
12211747,0,0,2750,2675,33956700,-118274000,2750,1960,150891
12228547,0,0,,1564,33938538,-118268310,,1935,235000
12254347,0,0,6447,1208,33885660,-118290186,6447,1953,44822
12257147,0,0,91940,,33915785,-118271373,91940,,62374
12310147,0,0,,,33954475,-118183468,,,2.79E+07
