zpid,rooms,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount
10754147,0,0,0,,,85768,34144442,-118654084,,9
10759547,0,0,0,,,4083,34140430,-118625364,,27516
10843547,0,0,0,,73026,63085,33989359,-118394633,,1413387
10859147,0,0,0,,5068,7521,34148863,-118437206,1948,1156834
10879947,0,0,0,,1776,8512,34194168,-118385816,1947,433491
10898347,0,0,0,,2400,2500,34171873,-118380906,1943,283315
10933547,0,0,0,,,,34131929,-118351474,,554573
10940747,0,0,0,,3611,5333,34171345,-118314900,1946,688486
10954547,0,0,0,,,145865,34218210,-118331311,,9
10976347,0,0,0,,3754,7494,34289776,-118432085,1978,261201
11073947,0,0,0,,2470,3423,34265214,-118520217,1958,430208
11114347,0,0,0,,,81293,34447747,-118565056,,9
11116947,0,0,0,,,6286,34465048,-118568166,,171200
11142747,0,0,0,,,,34416889,-118505805,,4265
11193347,0,0,0,,,11975,34585014,-118162010,,10
11215747,0,0,0,,,9403,34563376,-118019104,,10
11229347,0,0,0,,,3817,34526913,-118050581,,2077
11287347,0,0,0,,2760,8856,34690736,-118135225,1949,62424
11288547,0,0,0,,4000,46526,34733960,-118139298,1956,102385
11324547,0,2,4,2,3633,9826,34560018,-118169806,2005,291973
11391347,0,0,0,,4053,8050,33986910,-118329553,1957,503752
11395747,0,0,0,,1442,2904,33960238,-118319986,,49928
11404347,0,0,0,,1936,1821,33959896,-118350438,1939,231720
11405747,0,0,0,,1606,5231,33952952,-118361711,1926,181667
11417147,0,0,0,,2820,5934,33931500,-118352104,1938,133717
11457547,0,0,0,,,500,33961232,-118385376,,124
11488147,0,4,5,4,2865,4990,33879216,-118361434,1972,818739
11520747,0,0,0,,6790,10437,34016768,-118408671,1955,786584
11524947,0,2,2,2,1090,40247,33974100,-118423000,2004,352198
11544747,0,4,3,4,1620,,33996200,-118438000,2011,835036
11579347,0,0,0,,3170,5010,34047254,-118490143,1955,528621
11585547,0,2,3,2,2077,6490,34012977,-118479243,1926,637046
11588747,0,3,3,3,2019,6763,34003621,-118477513,,1410000
11592147,0,0,0,,28667,,34021478,-118495171,1958,2.54E+07
11609547,0,0,0,,5610,5500,34043579,-118420247,1929,236380
11617547,0,3,2,3,2735,,34059700,-118439000,2010,2878212
11660547,0,0,0,,,,34061789,-118490569,,6629148
11681747,0,0,0,,,2902,34078805,-118685815,,15299
11698747,0,0,0,,18629,17015,33989166,-118352009,1949,1295374
11704347,0,0,0,,1781,7484,33997099,-118308380,1934,99589
11732547,0,0,0,,4320,9410,34040347,-118284504,1925,258557
11742147,0,0,0,,,3928,34048500,-118351405,,286462
11751547,0,0,0,,1012,6163,34059275,-118343860,1936,1178301
11759947,0,2,4,2,1931,5420,33990297,-118275168,1957,221244
11780147,0,0,0,,,,34046011,-118261452,,302423
11780347,0,0,0,,,,34046011,-118261452,,870573
11781947,0,0,0,,,19283,34053742,-118277178,1920,497257
11808747,0,0,0,,2427,4676,34078681,-118213803,1937,380000
11817747,0,0,0,,2718,2749,34090024,-118162665,1962,327880
11818747,0,0,0,,,5875,34072919,-118164004,,11009
11823747,0,0,0,,3230,4995,34048938,-118192806,1927,94118
11824947,0,0,0,,2086,5279,34040253,-118188151,1908,364299
11825347,0,0,0,,4355,9132,34033519,-118185231,1957,554292
11828947,0,0,0,,4567,5163,34028416,-118191127,1909,55024
11829547,0,0,0,,2156,7165,34024226,-118188022,1959,338633
11852147,0,0,0,,3159,2555,34021350,-118130571,1955,72165
11900147,0,0,0,,6150,4022,34096844,-118107664,1916,400448
11918747,0,0,0,,1045,117792,34081400,-118085000,1993,313528
11935747,0,0,0,,,2500,34071672,-118250933,,1808
11936547,0,0,0,,,25183,34067385,-118242805,,120596
11951747,0,0,0,,,5173,34104348,-118254681,,537313
11954547,0,0,0,,1200,4054,34097714,-118248712,1972,5249
11960747,0,0,0,,7323,9099,34117105,-118242371,1960,177232
11978347,0,0,0,,5085,3751,34110288,-118191254,1919,281661
12013147,0,0,0,,,976,34099979,-118341961,,25000
12022147,0,0,0,,10152,6057,34090892,-118385831,1936,2070254
12037147,0,0,0,,5482,6348,34102958,-118286134,1942,396431
12060147,0,0,0,,5302,5567,34162542,-118264158,1940,786107
12076747,0,0,0,,,9787,34172392,-118198221,,178495
12077147,0,0,0,,,2111,34170195,-118191644,,2171
12104147,0,0,0,,6200,10004,34148283,-118149156,1924,2571561
12111347,0,0,0,,18348,53507,34144225,-118132334,2006,8283548
12144747,0,4,4,4,3086,12843,34111765,-118045669,1950,993913
12167947,0,0,0,,,145953,34202429,-118123203,,378
12168547,0,0,0,,,5504,34192420,-118125270,,34466
