zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount
11097925,3,3,3,2473,17243,34225998,-118574082,1951,382448
11098094,2,3,2,1500,8915,34224227,-118575904,1956,421772
11098194,2,3,2,1375,7506,34221256,-118576336,1954,188863
11098800,2,2,2,1404,274089,34223300,-118570000,1979,185655
11098892,2,3,2,1560,10068,34228509,-118569226,1937,373568
11099015,2,4,2,1908,7563,34227569,-118563785,1958,258077
11099161,3,3,3,1879,7199,34228497,-118563172,1958,203626
11099261,2,3,2,1392,7499,34229747,-118566151,1956,216355
11099544,2,3,2,1795,9458,34221801,-118554050,1947,231466
11099644,3,4,3,2415,46393,34222596,-118558513,1945,582461
11099690,2,3,2,1742,44883,34221871,-118559854,1939,587668
11099790,2,3,2,2009,8710,34227145,-118559845,1957,340786
11099890,3,3,3,1644,8971,34225830,-118556167,1957,358611
11100544,2,3,2,1568,7570,34224076,-118545766,1956,378962
11100667,2,3,2,1221,7596,34222501,-118549688,1956,206860
11100690,3,3,3,1848,5022,34221003,-118548535,1978,458990
11100881,1,3,1,983,5739,34226684,-118538934,1952,108589
11101103,2,3,2,1267,6469,34225282,-118542863,1961,425872
11101636,2,3,2,1816,9480,34223008,-118527919,1965,532000
11101941,3,3,3,1866,17398,34225054,-118525369,1950,150120
11102746,2,4,2,1420,6049,34434673,-118475693,1964,225846
11102846,2,3,2,1240,10224,34436710,-118480452,1964,339825
11102946,2,3,2,1287,6557,34435014,-118482984,1964,153033
11103069,2,4,2,1374,6010,34434171,-118476034,1962,215779
11103092,2,3,2,1238,6209,34433597,-118478751,1963,364000
11103192,3,4,3,2166,6424,34434583,-118490995,1988,359364
11104095,2,4,2,1628,8650,34430655,-118465172,1967,282088
11104195,2,4,2,1628,7220,34433466,-118465694,1968,292626
11104364,2,3,2,1270,4656,34434433,-118472733,1984,292627
11104553,2,4,2,1144,6502,34423165,-118473597,1961,187851
11104968,2,4,2,1144,5776,34418194,-118468583,1961,259293
11105214,2,4,2,1269,7087,34423729,-118461752,1963,191812
11105591,2,2,2,795,312806,34421000,-118455000,1987,144990
11106019,2,2,2,1114,843582,34413600,-118467000,1981,225000
11106165,3,3,3,2526,37887,34419750,-118459526,1988,338016
11106530,1,1,1,635,188585,34413300,-118463000,1984,100418
11107231,2,4,2,1694,7050,34427930,-118476892,1965,365167
11107500,2,5,2,1809,6102,34424057,-118476109,1965,265126
11107569,3,4,3,1889,7537,34423179,-118479347,1966,274942
11107592,2,4,2,1642,5980,34423157,-118475129,1966,238205
11107715,2,3,2,1300,6663,34420822,-118476453,1966,226723
11107838,2,3,2,1430,7121,34456132,-118531347,1988,330008
11107961,2,3,2,1787,7655,34452658,-118532888,1959,254704
11108061,3,4,3,1718,6182,34452307,-118525166,1988,469000
11108184,2,3,2,1230,6777,34447119,-118533117,1957,275180
11108384,1,2,1,842,13898,34440630,-118532605,1950,84559
11108430,2,4,2,1260,12044,34440546,-118526099,1973,283218
11108722,2,4,2,1654,15904,34446177,-118529446,1980,334944
11108968,3,3,3,1672,8457,34444774,-118519607,1989,391909
11109137,3,3,3,2255,11981,34439683,-118530996,1953,371931
11109552,2,3,2,1188,6439,34436558,-118521986,1964,50742
11110220,2,3,2,1418,7576,34450969,-118504145,1966,282176
11110343,2,4,2,1604,7376,34451989,-118500851,1966,157020
11110735,1,2,1,834,125560,34452462,-118496660,1976,196000
11110835,1,2,1,834,148023,34450903,-118498391,1977,91164
11110965,2,3,2,2014,3614,34439279,-118534265,1975,274384
11111065,3,3,3,2032,3743,34440588,-118533776,1975,255954
11111357,2,3,2,1319,8653,34437717,-118537972,1978,126106
11112415,3,4,3,1788,4742,34448888,-118551623,1996,509000
11112538,3,3,3,1260,21251,34449962,-118554519,1995,360000
11113058,3,4,3,2288,5117,34451206,-118542237,1996,396301
11113150,4,5,4,2937,5550,34458954,-118543103,1997,520265
11113196,4,5,4,2979,5061,34455197,-118541674,1997,452373
11118316,2,4,2,1637,9388,34436338,-118535442,1973,223652
11118659,3,3,3,1588,6889,34433601,-118552887,1989,503300
11118759,2,2,2,1445,6959,34436747,-118553671,1992,399749
11118859,3,3,3,1928,6848,34433174,-118546430,1989,527672
11118959,3,3,3,1548,5583,34437003,-118546679,1990,275109
11119082,2,2,2,1355,7999,34433309,-118550294,1989,383072
11119720,3,4,3,2508,8368,34440699,-118539862,1994,489813
11119843,3,3,3,1714,129992,34431174,-118548865,1996,443690
11119943,3,2,3,1106,5903,34429500,-118550000,1995,208921
11120143,2,2,2,982,283,34430100,-118549000,1995,247441
