zpid,latitude,longitude,cityid,countyid,zipcode,amount
10754147,34144442,-118654084,37688,3101,96337,9
10759547,34140430,-118625364,37688,3101,96337,27516
10843547,33989359,-118394633,51617,3101,96095,1413387
10859147,34148863,-118437206,12447,3101,96424,1156834
10879947,34194168,-118385816,12447,3101,96450,433491
10898347,34171873,-118380906,12447,3101,96446,283315
10933547,34131929,-118351474,12447,3101,96049,554573
10940747,34171345,-118314900,396054,3101,96434,688486
10954547,34218210,-118331311,396054,3101,96436,9
10976347,34289776,-118432085,47547,3101,96366,261201
11073947,34265214,-118520217,12447,3101,96370,430208
11114347,34447747,-118565056,,3101,96377,9
11116947,34465048,-118568166,,3101,96377,171200
11142747,34416889,-118505805,54311,3101,96373,4265
11193347,34585014,-118162010,40227,3101,97329,10
11215747,34563376,-118019104,40227,3101,97330,10
11229347,34526913,-118050581,40227,3101,97330,2077
11287347,34690736,-118135225,5534,3101,97317,62424
11288547,34733960,-118139298,5534,3101,97318,102385
11324547,34560018,-118169806,40227,3101,97329,291973
11391347,33986910,-118329553,12447,3101,96024,503752
11395747,33960238,-118319986,45888,3101,96137,49928
11404347,33959896,-118350438,45888,3101,96133,231720
11405747,33952952,-118361711,45888,3101,96133,181667
11417147,33931500,-118352104,45888,3101,96136,133717
11457547,33961232,-118385376,12447,3101,96026,124
11488147,33879216,-118361434,33612,3101,96124,818739
11520747,34016768,-118408671,51617,3101,96097,786584
11524947,33974100,-118423000,12447,3101,96072,352198
11544747,33996200,-118438000,12447,3101,96047,835036
11579347,34047254,-118490143,12447,3101,96149,528621
11585547,34012977,-118479243,26964,3101,96152,637046
11588747,34003621,-118477513,26964,3101,96152,1410000
11592147,34021478,-118495171,26964,3101,96148,2.54E+07
11609547,34043579,-118420247,12447,3101,96045,236380
11617547,34059700,-118439000,12447,3101,96005,2878212
11660547,34061789,-118490569,12447,3101,96030,6629148
11681747,34078805,-118685815,,3101,96337,15299
11698747,33989166,-118352009,12447,3101,96024,1295374
11704347,33997099,-118308380,12447,3101,96043,99589
11732547,34040347,-118284504,12447,3101,95987,258557
11742147,34048500,-118351405,12447,3101,96000,286462
11751547,34059275,-118343860,12447,3101,96017,1178301
11759947,33990297,-118275168,12447,3101,96018,221244
11780147,34046011,-118261452,12447,3101,95996,302423
11780347,34046011,-118261452,12447,3101,95996,870573
11781947,34053742,-118277178,12447,3101,96038,497257
11808747,34078681,-118213803,12447,3101,96012,380000
11817747,34090024,-118162665,12447,3101,96013,327880
11818747,34072919,-118164004,12447,3101,96013,11009
11823747,34048938,-118192806,12447,3101,96044,94118
11824947,34040253,-118188151,17882,3101,96044,364299
11825347,34033519,-118185231,17882,3101,96044,554292
11828947,34028416,-118191127,17882,3101,96044,55024
11829547,34024226,-118188022,17882,3101,96004,338633
11852147,34021350,-118130571,25953,3101,96192,72165
11900147,34096844,-118107664,33837,3101,96515,400448
11918747,34081400,-118085000,33837,3101,96515,313528
11935747,34071672,-118250933,12447,3101,96007,1808
11936547,34067385,-118242805,12447,3101,95993,120596
11951747,34104348,-118254681,12447,3101,96020,537313
11954547,34097714,-118248712,12447,3101,96020,5249
11960747,34117105,-118242371,12447,3101,96046,177232
11978347,34110288,-118191254,12447,3101,96023,281661
12013147,34099979,-118341961,12447,3101,96009,25000
12022147,34090892,-118385831,48424,3101,96050,2070254
12037147,34102958,-118286134,12447,3101,96008,396431
12060147,34162542,-118264158,45457,3101,96321,786107
12076747,34172392,-118198221,45457,3101,96325,178495
12077147,34170195,-118191644,45457,3101,96325,2171
12104147,34148283,-118149156,47019,3101,96291,2571561
12111347,34144225,-118132334,47019,3101,96289,8283548
12144747,34111765,-118045669,50749,3101,96268,993913
12167947,34202429,-118123203,30187,3101,96265,378
12168547,34192420,-118125270,30187,3101,96265,34466
12171147,34171205,-118131784,47019,3101,96292,43809
12188547,33976720,-118268917,12447,3101,95984,47752
12195547,33972924,-118288809,12447,3101,96025,152999
12209347,33955375,-118307766,12447,3101,96028,181354
12211747,33956700,-118274000,12447,3101,95984,150891
12228547,33938538,-118268310,12447,3101,96042,235000
12254347,33885660,-118290186,12447,3101,96104,44822
12257147,33915785,-118271373,118994,3101,96042,62374
12310147,33954475,-118183468,47762,3101,96125,2.79E+07
12311747,33943371,-118199640,47762,3101,96125,3784125
12322547,33906779,-118177023,6395,3101,96220,304150
12360147,33980399,-118206130,39076,3101,96110,265147
12366747,33975454,-118164470,16961,3101,96083,370250
12371547,34014159,-118146081,17882,3101,96003,43607
12378747,34011495,-118115623,25953,3101,96192,274447
12405147,33881947,-118064573,10774,3101,96206,9
12408747,33878703,-118087837,10774,3101,96206,9
12446947,33874912,-118168701,46298,3101,96239,200590
12476147,33874476,-118127752,44116,3101,96208,235614
12508747,33801943,-118157478,27103,3101,96234,1716511
12537947,33770827,-118156513,46298,3101,96246,6817
12549947,33779270,-118169007,46298,3101,96245,989
12559547,33773611,-118193771,46298,3101,96236,13954
12559747,33771212,-118191236,46298,3101,96236,1075840
12560547,33770013,-118192643,46298,3101,96236,1269187
12592347,33824365,-118303282,12447,3101,96159,55570
12606547,33837000,-118347000,54722,3101,96161,659000
12612547,33795369,-118318560,53027,3101,96217,578434
12645947,33750912,-118284822,12447,3101,96221,59927
12649147,33729436,-118292194,12447,3101,96221,23448
12665947,33835697,-118384037,33612,3101,96123,326096
12682747,33803768,-118349826,54722,3101,96163,491668
12685947,33799682,-118388346,33311,3101,96121,1072446
12716947,33953559,-118083855,13716,3101,96201,166927
12757147,33897134,-118102953,53636,3101,96193,229763
12757947,33889894,-118100732,53636,3101,96193,286129
12803347,33980510,-118049973,14634,3101,96169,222657
12835947,34016009,-117947459,39306,3101,96488,104435
12838747,34033862,-117948861,39306,3101,96488,1611044
12881347,34064241,-117751671,20008,3101,96508,234519
12996547,34089943,-118025720,51861,3101,96478,520000
13026147,34143092,-117883804,11626,3101,96486,690000
13029947,34128204,-117874545,11626,3101,96485,3133826
13061547,34041235,-117791327,20008,3101,96506,17648
13113147,33984307,-118453193,53162,3101,96128,1475668
13113347,33985192,-118452314,53162,3101,96128,326335
13113547,33984350,-118452023,53162,3101,96128,180370
13114147,34680553,-118087153,5534,3101,97318,
13114347,34680553,-118087153,5534,3101,97318,
13114547,34189273,-118545075,12447,3101,96364,
13114747,34209694,-118498313,12447,3101,96415,
13114947,34044283,-117990464,113576,3101,96490,
13115147,34308900,-118461613,12447,3101,96368,
13115347,34276994,-118395527,12447,3101,96368,
13115547,34267763,-118406278,12447,3101,96361,
13115747,34327059,-118465727,12447,3101,96368,
13115947,34327059,-118465727,12447,3101,96368,
13116147,34314483,-118476070,12447,3101,96368,
13116347,34271503,-118467494,12447,3101,96371,
13116547,34245616,-118596393,12447,3101,96346,
13116747,34248085,-118582132,12447,3101,96346,
13116947,34228588,-118592886,12447,3101,96339,
13117147,34233366,-118549198,12447,3101,96354,
13117347,34413580,-118459677,54311,3101,96374,
13117547,34422603,-118490620,54311,3101,96374,
13117747,34422603,-118490620,54311,3101,96374,
13117947,34371722,-118558041,54311,3101,96352,
13118147,34410234,-118461971,54311,3101,96374,
13118347,34410234,-118461971,54311,3101,96374,
13118547,34422842,-118424483,54311,3101,96401,
13118747,34418546,-118447357,54311,3101,96401,
13118947,34571089,-118065097,40227,3101,97328,
13119147,34575492,-118067368,40227,3101,97328,
13119347,34561192,-118046994,40227,3101,97330,
13119547,34556011,-118108992,40227,3101,97328,
13119747,34647495,-118231883,5534,3101,97319,
13119947,34760580,-118167523,5534,3101,97317,
13120147,34680513,-118091446,5534,3101,97318,
13120347,34706358,-118101844,5534,3101,97318,
13120547,34707984,-118083448,5534,3101,97318,
13120747,34709046,-118087037,5534,3101,97318,
13120947,34702455,-118085622,5534,3101,97318,
13121147,34716989,-118109192,5534,3101,97318,
13121347,34708502,-118105065,5534,3101,97318,
13121547,34708502,-118105065,5534,3101,97318,
13121747,34448823,-118419423,54311,3101,96401,
13121947,34269111,-118463314,12447,3101,96371,
13122147,34007975,-117841778,24384,3101,96522,
13122347,33859167,-118367327,33612,3101,96124,
13122547,34351436,-118538253,,3101,96352,
13122747,34015545,-118085974,26483,3101,96197,
13122947,34019770,-118789549,12520,3101,96116,
13123147,34007780,-117905626,118217,3101,96488,
13123347,34061774,-118075048,54212,3101,96510,
13123547,33798094,-118323741,53027,3101,96217,
13123747,34004233,-117850319,24384,3101,96522,
13123947,33910911,-118298113,45398,3101,96104,
13124147,33942163,-118171443,47762,3101,96125,
13124347,33906121,-118174218,6395,3101,96220,
13124547,33894127,-118177435,6395,3101,96220,
13124747,33900531,-118147274,6395,3101,96220,
13124947,34705741,-118072366,5534,3101,97318,
13125147,33767215,-118111307,46298,3101,96237,
13125347,33877007,-118310421,45398,3101,96104,
13125547,33867865,-118221492,24174,3101,96090,
13125747,33867865,-118221492,24174,3101,96090,
13125947,33856461,-118083541,30267,3101,96204,
13126147,33829801,-118063545,21778,3101,96216,
13126347,33884149,-118168176,6395,3101,96220,
13126547,33873158,-118187376,46298,3101,96239,
13126747,33870913,-118188258,46298,3101,96239,
13126947,33887682,-118190625,24174,3101,96091,
13127147,33820454,-118217277,46298,3101,96244,
13127347,33869548,-118262569,10723,3101,96230,
13127547,33831074,-118244565,10723,3101,96229,
13127747,33838340,-118265838,10723,3101,96229,
13127947,33869206,-118268576,10723,3101,96230,
13128147,33832526,-118283500,10723,3101,96229,
13128347,33828543,-118288255,118878,3101,96160,
13128547,33809822,-118309254,54722,3101,96159,
13128747,33800045,-118293567,118878,3101,96210,
13128947,33781080,-118299618,12447,3101,96210,
13129147,33784618,-118250820,12447,3101,96228,
13129347,33787905,-118329670,54722,3101,96163,
13129547,33724619,-118326045,12447,3101,96222,
13129747,34052478,-117769754,20008,3101,96506,
13129947,34107015,-117859630,11626,3101,96485,
13130147,33991203,-117892272,22827,3101,96492,
13130347,34238623,-118655270,,3101,96339,
13130547,34238428,-118660015,,3101,96339,
13130747,33915599,-118031358,5465,3101,96190,
13130947,34061123,-118061149,36502,3101,96480,
13131147,34047198,-118013567,51861,3101,96479,
13131347,34031186,-118003857,45602,3101,96489,
13131547,34031186,-118003857,45602,3101,96489,
13131747,33990153,-117881843,22827,3101,96492,
13131947,34110741,-117745979,20008,3101,96507,
13132147,34042184,-117750828,20008,3101,96506,
13132347,34106128,-117741572,20008,3101,96507,
13132547,34093087,-117758576,39308,3101,96494,
13132747,34104010,-117832104,33836,3101,96513,
13132947,34100336,-117821514,33836,3101,96513,
13133147,34097300,-117830650,33836,3101,96513,
13133347,34114031,-117782191,39308,3101,96494,
13133547,34105887,-117841113,24245,3101,96475,
13133747,34104778,-117863530,24245,3101,96475,
13133947,34098516,-117909131,24245,3101,96473,
13134147,34093048,-117870154,24245,3101,96475,
13134347,34140750,-117984895,32923,3101,96273,
13134547,34094771,-118030187,51861,3101,96478,
13134747,34113493,-117912914,37015,3101,96464,
13134947,34109389,-117878184,11626,3101,96485,
13135147,34133520,-117879368,11626,3101,96486,
13135347,34130178,-117833788,11626,3101,96486,
13135547,34111966,-117755447,39308,3101,96494,
13135747,34115061,-117752634,39308,3101,96494,
13135947,34046387,-117815445,20008,3101,96508,
13136147,34021582,-117915892,118217,3101,96488,
13136347,34024753,-117915266,118217,3101,96488,
13136547,33856782,-118220772,24174,3101,96090,
13136747,33856782,-118220772,24174,3101,96090,
13136947,33856782,-118220772,24174,3101,96090,
13137147,34621824,-118224390,40227,3101,97329,
13137347,34619963,-118221259,40227,3101,97329,
13137547,34619963,-118221259,40227,3101,97329,
13137747,34316857,-118401876,12447,3101,96368,
13137947,34558548,-118109732,40227,3101,97328,
13138147,33930195,-118229419,,3101,96040,
13138347,34428643,-118482122,54311,3101,96374,70000
13138547,34429346,-118485725,54311,3101,96374,77400
13871747,33863685,-117938506,24812,1286,97040,529869
13951347,33748083,-117948108,34780,1286,96990,635302
13963347,33687181,-117753231,52650,1286,96954,920319
14097747,33800071,-118070627,46314,1286,96218,1598867
14281747,33646579,-117902609,,1286,96959,649273
14310947,33659879,-117808611,,1286,96947,1401383
14356347,33686633,-117751314,52650,1286,96954,933060
14358547,33696485,-117724943,52650,1286,96954,1671510
14358747,33700729,-117727933,52650,1286,96952,994000
14459947,33525974,-117621817,15554,1286,96998,628108
14460147,33528291,-117624187,33840,1286,96998,858628
14514547,33746500,-117925000,47568,1286,97003,7498
14515347,33746100,-117909000,47568,1286,97003,39814
14518947,33799700,-117990000,42967,1286,96203,20255
14527747,33726650,-117808465,27491,1286,97016,117794
14591347,33827543,-117994994,16764,1286,97023,14674
14609147,33863571,-117939666,24812,1286,97040,473260
14618747,33683239,-117758697,52650,1286,96954,679800
14633147,33695945,-117729931,52650,1286,96952,852990
14636347,33702604,-117734868,52650,1286,96954,645869
14639947,33905285,-117844108,26531,1286,97068,630347
14683147,33706165,-117744016,52650,1286,96954,664593
14707547,33723568,-118051714,25218,1286,96967,162926
14723547,33736471,-117755999,,1286,97067,385323
14737547,33669079,-117672715,32380,1286,96962,528814
14748947,33621178,-117879309,53571,1286,96978,3699630
14755747,33910143,-117847490,17150,1286,97037,730239
14762147,33634949,-117832340,52650,1286,96951,578666
17061147,34430592,-119158001,13091,2061,97099,563489
17099147,34355400,-119060000,26965,2061,97113,525000
17257947,34260898,-118671161,27110,2061,97116,27945
17276347,34167903,-118834113,34278,2061,96385,91722
17303147,34422767,-119291147,13091,2061,97099,
17303347,34429402,-119289053,13091,2061,97099,
17304947,34262892,-119240051,34543,2061,97083,
17306947,34164815,-119137948,13150,2061,97104,
17307347,34192481,-119174775,13150,2061,97101,
17307547,34164018,-119149643,13150,2061,97104,
17308947,34196427,-118958804,34278,2061,96351,
17309547,34268764,-118671073,27110,2061,97116,
17310147,34270215,-118691763,27110,2061,97116,
17311347,34339245,-119075181,26965,2061,97113,
76914147,34153915,-118480682,,3101,,4000000
76914347,34274964,-118437079,,3101,,37548
76914547,34410721,-118559634,,3101,,176899
76914747,34659491,-118394593,,3101,,209415
76914947,33913286,-118376591,,3101,,7636050
76915147,34029608,-118388946,,3101,,2305418
76916747,34087460,-117735338,,3101,,125000
163187347,34145441,-118249047,,3101,,
17051828,34433200,-119303320,13091,2061,97099,2195000
17052152,34464778,-119197656,13091,2061,97099,783000
17052992,34450686,-119278912,13091,2061,97099,87400
17053038,34448639,-119277621,13091,2061,97099,229920
17053061,34450089,-119277534,13091,2061,97099,309132
17053543,34437502,-119265201,13091,2061,97099,595706
17054185,34437002,-119293151,13091,2061,97099,60087
17054285,34438707,-119295720,13091,2061,97099,444166
17054331,34440918,-119293909,13091,2061,97099,363915
17054431,34437618,-119287075,13091,2061,97099,292166
17054492,34452715,-119266845,13091,2061,97099,601622
17054889,34451218,-119254524,13091,2061,97099,919223
17054981,34449407,-119254052,13091,2061,97099,859741
17055119,34445300,-119253000,13091,2061,97099,420000
17055279,34450161,-119246690,13091,2061,97099,192470
17055559,34456617,-119240887,13091,2061,97099,386107
17055582,34460706,-119242372,13091,2061,97099,510100
17055674,34456013,-119239461,13091,2061,97099,755073
17055743,34454169,-119237898,13091,2061,97099,429608
17055981,34453114,-119236028,13091,2061,97099,227929
17056295,34461036,-119236181,13091,2061,97099,283081
17056441,34460521,-119233963,13091,2061,97099,420003
17056517,34442894,-119251297,13091,2061,97099,219191
17057038,34447734,-119217158,13091,2061,97099,149091
17057769,34461232,-119180816,13091,2061,97099,840854
17057799,34454777,-119197226,13091,2061,97099,643767
17057897,34437502,-119136748,26965,2061,97099,227394
17058148,34411071,-119295022,40110,2061,97098,122060
17058568,34400519,-119297939,40110,2061,97098,186051
17059050,34419017,-119296402,13091,2061,97099,458473
17059992,34417202,-119291994,40110,2061,97099,430314
17060107,34420282,-119280220,13091,2061,97098,170562
17060906,34384437,-119299057,34543,2061,97081,331723
17061227,34434330,-119140961,13091,2061,97099,932000
17061468,34383313,-119069587,26965,2061,97113,205100
17061867,34371870,-119056755,26965,2061,97113,665444
17063007,34378340,-118936013,18098,2061,97094,175435
17063769,34407670,-118915735,18098,2061,97094,293148
17064022,34405131,-118910954,18098,2061,97094,70218
17064099,34406451,-118906446,18098,2061,97094,69365
17064252,34408400,-118923000,18098,2061,97094,273813
17064321,34406149,-118924197,18098,2061,97094,61367
17064919,34398168,-118927194,18098,2061,97094,185307
17064942,34397172,-118927384,18098,2061,97094,331000
17067589,34413587,-118794057,13311,2061,97108,182579
17067815,34401933,-118805341,18098,2061,97094,245178
17068109,34365693,-119448392,34543,2061,97081,282303
17069169,34444682,-119249197,13091,2061,97099,183117
17069703,34370526,-119304482,34543,2061,97081,337829
17069749,34367300,-119307000,34543,2061,97081,271723
17070219,34336537,-119291142,34543,2061,97081,280826
17070342,34337843,-119288514,34543,2061,97081,53864
17071090,34291735,-119205612,34543,2061,97083,74360
17071573,34296359,-119207632,34543,2061,97083,314435
17071718,34291597,-119215150,34543,2061,97083,721000
17071879,34288147,-119223240,34543,2061,97083,693925
17071902,34287968,-119221256,34543,2061,97083,253756
17072099,34297666,-119295692,34543,2061,97081,146117
17072213,34293632,-119297088,34543,2061,97081,29492
17072870,34296002,-119294355,34543,2061,97081,261275
17072893,34295141,-119293927,34543,2061,97081,180287
17073008,34293986,-119292402,34543,2061,97081,171856
17073230,34310440,-119289439,34543,2061,97081,285718
17073299,34310575,-119287116,34543,2061,97081,41728
17073391,34306420,-119290852,34543,2061,97081,386646
17073537,34304890,-119290234,34543,2061,97081,188750
17073637,34304496,-119290378,34543,2061,97081,157254
17073783,34303597,-119287236,34543,2061,97081,191811
17073829,34301573,-119285757,34543,2061,97081,453597
17073952,34305600,-119284000,34543,2061,97081,255000
17074134,34289045,-119199457,34543,2061,97083,148884
17074257,34295949,-119203363,34543,2061,97083,246355
17074479,34289223,-119294543,34543,2061,97081,142114
17074853,34287536,-119301879,34543,2061,97081,158988
