zpid,latitude,longitude,cityid,countryid,zipcpde,amount
11097925,34225998,-118574082,12447,3101,96341,382448
11098094,34224227,-118575904,12447,3101,96341,421772
11098194,34221256,-118576336,12447,3101,96341,188863
11098800,34223300,-118570000,12447,3101,96341,185655
11098892,34228509,-118569226,12447,3101,96354,373568
11099015,34227569,-118563785,12447,3101,96341,258077
11099161,34228497,-118563172,12447,3101,96354,203626
11099261,34229747,-118566151,12447,3101,96354,216355
11099544,34221801,-118554050,12447,3101,96354,231466
11099644,34222596,-118558513,12447,3101,96354,582461
11099690,34221871,-118559854,12447,3101,96354,587668
11099790,34227145,-118559845,12447,3101,96354,340786
11099890,34225830,-118556167,12447,3101,96354,358611
11100544,34224076,-118545766,12447,3101,96354,378962
11100667,34222501,-118549688,12447,3101,96354,206860
11100690,34221003,-118548535,12447,3101,96354,458990
11100881,34226684,-118538934,12447,3101,96354,108589
11101103,34225282,-118542863,12447,3101,96354,425872
11101636,34223008,-118527919,12447,3101,96355,532000
11101941,34225054,-118525369,12447,3101,96355,150120
11102746,34434673,-118475693,54311,3101,96374,225846
11102846,34436710,-118480452,54311,3101,96374,339825
11102946,34435014,-118482984,54311,3101,96374,153033
11103069,34434171,-118476034,54311,3101,96374,215779
11103092,34433597,-118478751,54311,3101,96374,364000
11103192,34434583,-118490995,54311,3101,96374,359364
11104095,34430655,-118465172,54311,3101,96374,282088
11104195,34433466,-118465694,54311,3101,96374,292626
11104364,34434433,-118472733,54311,3101,96374,292627
11104553,34423165,-118473597,54311,3101,96374,187851
11104968,34418194,-118468583,54311,3101,96374,259293
11105214,34423729,-118461752,54311,3101,96374,191812
11105591,34421000,-118455000,54311,3101,96374,144990
11106019,34413600,-118467000,54311,3101,96374,225000
11106165,34419750,-118459526,54311,3101,96374,338016
11106530,34413300,-118463000,54311,3101,96374,100418
11107231,34427930,-118476892,54311,3101,96374,365167
11107500,34424057,-118476109,54311,3101,96374,265126
11107569,34423179,-118479347,54311,3101,96374,274942
11107592,34423157,-118475129,54311,3101,96374,238205
11107715,34420822,-118476453,54311,3101,96374,226723
11107838,34456132,-118531347,54311,3101,96373,330008
11107961,34452658,-118532888,54311,3101,96373,254704
11108061,34452307,-118525166,54311,3101,96373,469000
11108184,34447119,-118533117,54311,3101,96373,275180
11108384,34440630,-118532605,54311,3101,96373,84559
11108430,34440546,-118526099,54311,3101,96373,283218
11108722,34446177,-118529446,54311,3101,96373,334944
11108968,34444774,-118519607,54311,3101,96373,391909
11109137,34439683,-118530996,54311,3101,96373,371931
11109552,34436558,-118521986,54311,3101,96373,50742
11110220,34450969,-118504145,54311,3101,96373,282176
11110343,34451989,-118500851,54311,3101,96373,157020
11110735,34452462,-118496660,54311,3101,96373,196000
11110835,34450903,-118498391,54311,3101,96373,91164
11110965,34439279,-118534265,54311,3101,96377,274384
11111065,34440588,-118533776,54311,3101,96377,255954
11111357,34437717,-118537972,54311,3101,96377,126106
11112415,34448888,-118551623,54311,3101,96377,509000
11112538,34449962,-118554519,54311,3101,96377,360000
11113058,34451206,-118542237,54311,3101,96377,396301
11113150,34458954,-118543103,54311,3101,96377,520265
11113196,34455197,-118541674,54311,3101,96377,452373
11118316,34436338,-118535442,54311,3101,96377,223652
11118659,34433601,-118552887,54311,3101,96377,503300
11118759,34436747,-118553671,54311,3101,96377,399749
11118859,34433174,-118546430,54311,3101,96377,527672
11118959,34437003,-118546679,54311,3101,96377,275109
11119082,34433309,-118550294,54311,3101,96377,383072
11119720,34440699,-118539862,54311,3101,96377,489813
11119843,34431174,-118548865,54311,3101,96377,443690
11119943,34429500,-118550000,54311,3101,96377,208921
11120143,34430100,-118549000,54311,3101,96377,247441
11121609,34456595,-118499417,54311,3101,96373,404000
11121947,34463001,-118491738,,3101,96403,424238
11122047,34445258,-118496462,54311,3101,96373,383957
11122147,34446074,-118502389,54311,3101,96373,489000
11122316,34447151,-118490379,54311,3101,96373,384226
11122339,34438183,-118485747,54311,3101,96374,216206
11122439,34440165,-118483442,54311,3101,96374,335789
11122608,34451461,-118490080,,3101,96373,425667
11122731,34460755,-118488058,,3101,96403,416506
11122900,34462452,-118486885,,3101,96403,302259
11127233,34278669,-118597835,,3101,96346,216956
11127413,34297102,-118547478,12447,3101,96356,746201
11127513,34297609,-118542288,12447,3101,96356,128264
11128217,34281619,-118618706,,3101,96346,2783200
11128812,34274900,-118550000,12447,3101,96356,446000
11128912,34273900,-118550000,12447,3101,96356,348581
11129135,34281919,-118550245,12447,3101,96356,147903
11129235,34280352,-118548463,12447,3101,96356,510247
11129335,34279011,-118549527,12447,3101,96356,429197
11129435,34458130,-118534298,54311,3101,96377,166254
11129481,34458872,-118535732,54311,3101,96377,323682
