zpid,rooms,units,airconditiontype,heatsystemtype,buildingquality,pools
11097925,0,1,,7,7,1
11098094,0,1,,2,4,
11098194,0,1,,2,7,
11098800,0,1,1,2,4,1
11098892,0,1,,7,7,
11099015,0,1,,2,4,
11099161,0,1,,2,4,
11099261,0,1,1,2,7,
11099544,0,1,,7,7,
11099644,0,2,,,7,1
11099690,0,1,,7,7,
11099790,0,1,,2,4,1
11099890,0,1,,2,4,
11100544,0,1,,7,7,1
11100667,0,1,,7,7,
11100690,0,1,1,2,4,
11100881,0,1,,7,7,
11101103,0,1,,2,7,1
11101636,0,1,1,2,4,1
11101941,0,1,,7,7,
11102746,0,1,,2,7,
11102846,0,1,,2,7,
11102946,0,1,,2,7,
11103069,0,1,,2,7,
11103092,0,1,,2,7,
11103192,0,1,1,2,4,1
11104095,0,1,,2,7,1
11104195,0,1,1,2,7,1
11104364,0,1,1,2,4,
11104553,0,1,,2,7,
11104968,0,1,,2,7,
11105214,0,1,,2,7,1
11105591,0,1,1,2,4,1
11106019,0,1,1,2,7,
11106165,0,1,1,2,4,
11106530,0,1,1,2,7,1
11107231,0,1,,2,7,
11107500,0,1,,2,7,
11107569,0,1,1,2,7,
11107592,0,1,,2,7,
11107715,0,1,1,2,7,
11107838,0,1,1,2,4,1
11107961,0,1,1,2,7,
11108061,0,1,1,2,4,
11108184,0,1,,2,7,1
11108384,0,1,,7,7,
11108430,0,1,1,2,7,1
11108722,0,1,1,2,7,
11108968,0,1,1,2,4,
11109137,0,1,1,2,4,1
11109552,0,1,,2,7,
11110220,0,1,,2,7,
11110343,0,1,,2,7,
11110735,0,1,1,2,7,
11110835,0,1,1,2,7,
11110965,0,1,1,2,7,
11111065,0,1,1,2,7,
11111357,0,1,1,2,7,
11112415,0,1,1,2,4,
11112538,0,1,1,2,4,
11113058,0,1,1,2,4,1
11113150,0,1,1,2,4,
11113196,0,1,1,2,4,
11118316,0,1,1,2,7,1
11118659,0,1,1,2,4,1
11118759,0,1,1,2,4,
11118859,0,1,1,2,4,1
11118959,0,1,1,2,4,
11119082,0,1,1,2,4,1
11119720,0,1,1,2,4,1
11119843,0,1,1,2,4,
