area_id,area_name,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000
1600000US0203000,Anchorage- AK,region.place,2013,44611,32400,58000,44811,38917,55519,74362,32398,26173,43034,2,10,1.5,14.5,20.3,16.5,7.6,12.8,14.8
1600000US0236400,Juneau- AK,region.place,2013,45795,34905,62363,45483,40267,50122,72486,36097,23819,40280,1.6,7,1.2,13.1,22.5,16.6,8.4,17.5,12
1600000US0224230,Fairbanks- AK,region.place,2013,40905,26021,44704,32442,30540,52153,60682,32525,27150,41066,2.4,16.8,1.6,19.3,19.9,16.5,7,10.7,5.8
1600000US0205000,Badger- AK,region.place,2013,39558,30341,62029,54057,40494,52167,70714,42965,33711,47668,1.5,10.4,1.3,9.3,22.5,24.2,10.9,13,6.9
1600000US0240645,Knik-Fairview- AK,region.place,2013,44543,27866,69483,53607,42463,65625,69740,44208,36364,47100,2.5,8,2.1,9.3,18.9,17.3,10.7,18.8,12.4
1600000US0216750,College- AK,region.place,2013,39173,21768,61667,35159,27936,34803,51960,34375,20851,36313,1.5,8.4,0.5,20.1,19.5,14.4,8.5,16.1,11
1600000US0275077,Tanaina- AK,region.place,2013,42608,30913,62321,52821,39889,44219,77000,43587,28250,42316,1.9,4.7,0.3,13.2,26,18.4,6.5,14.5,14.5
1600000US0242832,Lakes- AK,region.place,2013,44719,33594,61910,52512,43254,63796,63333,38378,22885,43227,2.8,5.6,1.2,11.6,19.9,22.3,4.5,16,16.1
1600000US0270540,Sitka- AK,region.place,2013,38450,30251,58929,43634,33766,49706,59643,33140,23972,37188,4.9,10.7,1.3,18.1,19.2,17.7,5.6,15,7.6
1600000US0237250,Kalifornsky- AK,region.place,2013,37297,30063,62778,58806,42089,67375,60350,38198,53594,45212,4.2,5.4,0,13.1,19.7,25.6,7.7,13.3,11
1600000US0283080,Wasilla- AK,region.place,2013,46131,26311,60278,44389,32676,46957,60288,42904,27031,37230,6,8,0,19.2,15.3,17.8,8.2,11.3,14.3
1600000US0238970,Ketchikan- AK,region.place,2013,40223,31042,49221,33750,31808,43944,65385,31600,23333,33226,2.2,12.3,3.7,13.4,28.3,17.9,5.7,9.6,7
1600000US0238420,Kenai- AK,region.place,2013,34984,23909,62682,48036,31722,35000,60208,36731,20846,37541,0.4,14.5,0.3,19.6,16.5,19.1,7,9.9,12.7
1600000US0247735,Meadow Lakes- AK,region.place,2013,37383,17005,52097,41658,30054,40920,76786,37250,15393,53389,8.8,13.1,1.4,14.5,15.8,15.4,8.7,10.7,11.6
1600000US0272985,Steele Creek- AK,region.place,2013,52132,35129,57379,53438,41914,52736,80179,40095,64074,44850,0.5,11.5,1.6,15.6,14.6,17.9,9,12,17.3
1600000US0240950,Kodiak- AK,region.place,2013,34871,19905,38125,27180,25050,31750,70625,25770,25699,30548,2.5,16.4,7.5,20.9,16.8,20.3,8.8,2.9,4
1600000US0212920,Chena Ridge- AK,region.place,2013,61343,26106,65192,48240,39155,49500,66534,36824,38829,48670,2.2,1.2,0,8.9,24.5,15.1,11.1,20.2,16.9
