area_id,area_name,area_type,year,per_capita_gdp,per_capita_gdp_percent_change
310M200US11260,Anchorage Metro Area (AK),region.msa,2001,60944,0
310M200US11260,Anchorage Metro Area (AK),region.msa,2002,61991,1.718
310M200US11260,Anchorage Metro Area (AK),region.msa,2003,60795,-1.929
310M200US11260,Anchorage Metro Area (AK),region.msa,2004,62375,2.599
310M200US11260,Anchorage Metro Area (AK),region.msa,2005,63545,1.876
310M200US11260,Anchorage Metro Area (AK),region.msa,2006,64537,1.561
310M200US11260,Anchorage Metro Area (AK),region.msa,2007,66439,2.947
310M200US11260,Anchorage Metro Area (AK),region.msa,2008,66097,-0.515
310M200US11260,Anchorage Metro Area (AK),region.msa,2009,71473,8.134
310M200US11260,Anchorage Metro Area (AK),region.msa,2010,68842,-3.681
310M200US11260,Anchorage Metro Area (AK),region.msa,2011,69496,0.95
310M200US11260,Anchorage Metro Area (AK),region.msa,2012,72334,4.084
310M200US11260,Anchorage Metro Area (AK),region.msa,2013,69387,-4.074
310M200US21820,Fairbanks Metro Area (AK),region.msa,2001,51220,0
310M200US21820,Fairbanks Metro Area (AK),region.msa,2002,51321,0.197
310M200US21820,Fairbanks Metro Area (AK),region.msa,2003,53912,5.049
310M200US21820,Fairbanks Metro Area (AK),region.msa,2004,54346,0.805
310M200US21820,Fairbanks Metro Area (AK),region.msa,2005,54572,0.416
310M200US21820,Fairbanks Metro Area (AK),region.msa,2006,57657,5.653
310M200US21820,Fairbanks Metro Area (AK),region.msa,2007,56964,-1.202
310M200US21820,Fairbanks Metro Area (AK),region.msa,2008,57379,0.729
310M200US21820,Fairbanks Metro Area (AK),region.msa,2009,53356,-7.011
310M200US21820,Fairbanks Metro Area (AK),region.msa,2010,51426,-3.617
310M200US21820,Fairbanks Metro Area (AK),region.msa,2011,52322,1.742
310M200US21820,Fairbanks Metro Area (AK),region.msa,2012,51837,-0.927
310M200US21820,Fairbanks Metro Area (AK),region.msa,2013,50052,-3.443
310M200US13820,Birmingham Metro Area (AL),region.msa,2001,48044,0
310M200US13820,Birmingham Metro Area (AL),region.msa,2002,49300,2.614
310M200US13820,Birmingham Metro Area (AL),region.msa,2003,48831,-0.951
310M200US13820,Birmingham Metro Area (AL),region.msa,2004,50335,3.08
310M200US13820,Birmingham Metro Area (AL),region.msa,2005,50795,0.914
310M200US13820,Birmingham Metro Area (AL),region.msa,2006,49910,-1.742
310M200US13820,Birmingham Metro Area (AL),region.msa,2007,49750,-0.321
310M200US13820,Birmingham Metro Area (AL),region.msa,2008,49220,-1.065
310M200US13820,Birmingham Metro Area (AL),region.msa,2009,45570,-7.416
310M200US13820,Birmingham Metro Area (AL),region.msa,2010,46108,1.181
310M200US13820,Birmingham Metro Area (AL),region.msa,2011,47568,3.166
310M200US13820,Birmingham Metro Area (AL),region.msa,2012,49579,4.228
310M200US13820,Birmingham Metro Area (AL),region.msa,2013,49034,-1.099
310M200US26620,Huntsville Metro Area (AL),region.msa,2001,40468,0
310M200US26620,Huntsville Metro Area (AL),region.msa,2002,43149,6.625
310M200US26620,Huntsville Metro Area (AL),region.msa,2003,46183,7.031
310M200US26620,Huntsville Metro Area (AL),region.msa,2004,48606,5.247
310M200US26620,Huntsville Metro Area (AL),region.msa,2005,49940,2.745
310M200US26620,Huntsville Metro Area (AL),region.msa,2006,50473,1.067
310M200US26620,Huntsville Metro Area (AL),region.msa,2007,49901,-1.133
310M200US26620,Huntsville Metro Area (AL),region.msa,2008,49569,-0.665
310M200US26620,Huntsville Metro Area (AL),region.msa,2009,49043,-1.061
310M200US26620,Huntsville Metro Area (AL),region.msa,2010,50424,2.816
310M200US26620,Huntsville Metro Area (AL),region.msa,2011,50185,-0.474
310M200US26620,Huntsville Metro Area (AL),region.msa,2012,49935,-0.498
310M200US26620,Huntsville Metro Area (AL),region.msa,2013,49675,-0.521
310M200US33660,Mobile Metro Area (AL),region.msa,2001,33919,0
310M200US33660,Mobile Metro Area (AL),region.msa,2002,34018,0.292
310M200US33660,Mobile Metro Area (AL),region.msa,2003,34806,2.316
310M200US33660,Mobile Metro Area (AL),region.msa,2004,36315,4.335
310M200US33660,Mobile Metro Area (AL),region.msa,2005,37371,2.908
310M200US33660,Mobile Metro Area (AL),region.msa,2006,39170,4.814
310M200US33660,Mobile Metro Area (AL),region.msa,2007,39456,0.73
310M200US33660,Mobile Metro Area (AL),region.msa,2008,39155,-0.763
310M200US33660,Mobile Metro Area (AL),region.msa,2009,39614,1.172
310M200US33660,Mobile Metro Area (AL),region.msa,2010,39792,0.449
310M200US33660,Mobile Metro Area (AL),region.msa,2011,39983,0.48
310M200US33660,Mobile Metro Area (AL),region.msa,2012,40106,0.308
310M200US33660,Mobile Metro Area (AL),region.msa,2013,41261,2.88
310M200US33860,Montgomery Metro Area (AL),region.msa,2001,39704,0
