timestamp,oil_urals,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,usdrub,eurrub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,fixed_basket,retail_trade_turnover,retail_trade_turnover_per_cap,retail_trade_turnover_growth,labor_force,unemployment,employment,invest_fixed_capital_per_cap,invest_fixed_assets,profitable_enterpr_share,unprofitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_natural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,baths_share,sewerage_share,gas_share,hot_water_share,electric_stove_share,heating_share,old_house_share,average_life_exp,infant_mortarity_per_1000_cap,perinatal_mort_per_1000_cap,incidence_population,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,modern_education_share,old_education_build_share,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,provision_retail_space_sqm,provision_retail_space_modern_sqm,turnover_catering_per_cap,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
2016/1/1,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,72.5209,79.959,37.28,-0.165975104,80804.3,-0.037267317,5.8,6.92,757.04,1761.36,126.13,284.44,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/2,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,72.5209,79.959,37.28,-0.165975104,80804.3,-0.037267317,5.8,6.92,757.04,1761.36,126.13,286.51,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/3,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,72.5209,79.959,37.28,-0.165975104,80804.3,-0.037267317,5.8,6.92,757.04,1761.36,126.13,290.8,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/4,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,73.1813,79.1675,37.22,-0.165975104,80804.3,-0.037267317,5.8,6.92,749.28,1734.56,126.32,295.18,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/5,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,73.3205,78.7959,36.42,-0.165975104,80804.3,-0.037267317,5.8,6.92,752.7,1754.13,126.65,295.18,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/6,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,74.532,80.1474,34.23,-0.165975104,80804.3,-0.037267317,5.8,6.92,736.82,1748.57,126.74,301.59,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/7,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,74.6337,80.9475,33.75,-0.165975104,80804.3,-0.037267317,5.8,6.92,736.82,1748.57,126.74,305.51,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/8,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,74.7475,81.4332,33.55,-0.165975104,80804.3,-0.037267317,5.8,6.92,736.82,1748.57,126.74,307.58,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/9,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,74.7475,81.4332,33.55,-0.165975104,80804.3,-0.037267317,5.8,6.92,736.82,1748.57,126.74,310.71,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016/1/10,29.1125,22016.1,-3.8,510.3,568.7,133.16,12.663,9.4,74.7475,81.4332,33.55,-0.165975104,80804.3,-0.037267317,5.8,6.92,736.82,1748.57,126.74,310.71,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,NA,NA,NA,NA,NA,NA,19461.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.26,98.79,74.05,51.1,48.62,38.19,29.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
