[0]	train-logloss:0.475451	valid-logloss:0.474818
[50]	train-logloss:0.271532	valid-logloss:0.2734
[100]	train-logloss:0.22169	valid-logloss:0.22482
[150]	train-logloss:0.203958	valid-logloss:0.207902
[200]	train-logloss:0.196351	valid-logloss:0.200906
[250]	train-logloss:0.191695	valid-logloss:0.196898
[300]	train-logloss:0.18791	valid-logloss:0.193873
[350]	train-logloss:0.184703	valid-logloss:0.191749
[400]	train-logloss:0.181929	valid-logloss:0.19012
[450]	train-logloss:0.179702	valid-logloss:0.189013
[500]	train-logloss:0.177749	valid-logloss:0.188065
[550]	train-logloss:0.175948	valid-logloss:0.187412
[600]	train-logloss:0.174398	valid-logloss:0.186878
[650]	train-logloss:0.17307	valid-logloss:0.186443
[700]	train-logloss:0.171509	valid-logloss:0.185959
[750]	train-logloss:0.170296	valid-logloss:0.185721
[800]	train-logloss:0.169028	valid-logloss:0.185418
[850]	train-logloss:0.167848	valid-logloss:0.185162
[900]	train-logloss:0.166722	valid-logloss:0.184957
[950]	train-logloss:0.165699	valid-logloss:0.1848
[1000]	train-logloss:0.164597	valid-logloss:0.184616
[1050]	train-logloss:0.163484	valid-logloss:0.184418
[1100]	train-logloss:0.162416	valid-logloss:0.184272
[1150]	train-logloss:0.161316	valid-logloss:0.184118
[1200]	train-logloss:0.160264	valid-logloss:0.183975
[1250]	train-logloss:0.159214	valid-logloss:0.183873
[1300]	train-logloss:0.158162	valid-logloss:0.183801
[1350]	train-logloss:0.157169	valid-logloss:0.183702
[1400]	train-logloss:0.156186	valid-logloss:0.183631
[1450]	train-logloss:0.155145	valid-logloss:0.183536
[1500]	train-logloss:0.154293	valid-logloss:0.183465
[1550]	train-logloss:0.153346	valid-logloss:0.183442
[1600]	train-logloss:0.152497	valid-logloss:0.183414
[1650]	train-logloss:0.151533	valid-logloss:0.183312
[1700]	train-logloss:0.150627	valid-logloss:0.183256
[1750]	train-logloss:0.149665	valid-logloss:0.183193
[1800]	train-logloss:0.14876	valid-logloss:0.183149
[1850]	train-logloss:0.147916	valid-logloss:0.183116
[1900]	train-logloss:0.147044	valid-logloss:0.183058
[1950]	train-logloss:0.146225	valid-logloss:0.183023
[2000]	train-logloss:0.145386	valid-logloss:0.18298
[2050]	train-logloss:0.14453	valid-logloss:0.182962
[2100]	train-logloss:0.143717	valid-logloss:0.182954
[2150]	train-logloss:0.142917	valid-logloss:0.1829
[2200]	train-logloss:0.142101	valid-logloss:0.182884
[2250]	train-logloss:0.141324	valid-logloss:0.182875
[2300]	train-logloss:0.140494	valid-logloss:0.182855
[2350]	train-logloss:0.13976	valid-logloss:0.182859

Stopping. Best iteration:
[2312]	train-logloss:0.140284	valid-logloss:0.182848

Valid Log Loss: 0.182869330637
